"Бренд";"Тип_детали";"Артикул_Бренда";"Артикул_Кросс";"Оригинальный_номер";"Наименование";"Категория";"Код";"Артикул";"Единица";"Главная категория"
"555";"Шаровая опора";"SB-7761";"CBM-13";"";"CBM-13/SB-7761/7311/ шаровая опора /555";"555/SB шаровые опоры";"2053";"54358";"шт";"555"
"555";"Шаровая опора";"SB-7721";"CBM-22";"";"CBM-22/SB-7721 шаровая опора /555";"555/SB шаровые опоры";"1350";"54055";"шт";"555"
"555";"Шаровая опора";"SB-7751";"CBM-27";"";"CBM-27/SB-7751 шаровая опора /555";"555/SB шаровые опоры";"LEN00005578";"";"шт";"555"
"555";"Шаровая опора";"SB-7872";"CBM-36";"";"CBM-36 SB-7872 шаровая опора 555";"555/SB шаровые опоры";"LEN00001963";"";"шт";"555"
"555";"Шаровая опора";"SB-B172";"CBM-42";"";"CBM-42/ SB-B172 шаровая опора 555";"555/SB шаровые опоры";"LEN00013461";"54358";"шт";"555"
"555";"Шаровая опора";"SB-1392";"CBMZ-17";"";"CBMZ-17/SB-1392 шаровая опора 555";"555/SB шаровые опоры";"LEN00001570";"54005";"шт";"555"
"555";"Шаровая опора";"SB-1521";"CBMZ-20";"";"CBMZ-20/SB-1521 шаровая опора 555";"555/SB шаровые опоры";"LEN00014955";"";"шт";"555"
"555";"Шаровая опора";"SB-1542";"CBMZ-24";"";"CBMZ-24/SB-1542 шаровая опора 555";"555/SB шаровые опоры";"LEN00014956";"";"шт";"555"
"555";"Шаровая опора";"SB-1552";"CBMZ-26";"";"CBMZ-26/SB-1552 шаровая опора 555";"555/SB шаровые опоры";"2498";"54007";"шт";"555"
"555";"Шаровая опора";"SB-1572";"CBMZ-27";"";"CBMZ-27/SB-1572 шаровая опора 555";"555/SB шаровые опоры";"2494";"54008";"шт";"555"
"555";"Шаровая опора";"SB-1672";"CBMZ-41";"";"CBMZ-41/SB-1672 шаровая опора 555";"555/SB шаровые опоры";"LEN00003441";"";"шт";"555"
"555";"Шаровая опора";"SB-N362";"CBMZ-47";"";"CBMZ-47/ SB-N362 шаровая опора 555";"555/SB шаровые опоры";"LEN00005222";"";"шт";"555"
"555";"Шаровая опора";"SB-4391";"CBN-11";"";"CBN-11/SB-4391 шаровая опора /555";"555/SB шаровые опоры";"1420";"54034";"шт";"555"
"555";"Шаровая опора";"SB-4562";"CBN-21";"";"CBN-21/SB-4562 шаровая опора //555";"555/SB шаровые опоры";"124";"54036";"шт";"555"
"555";"Шаровая опора";"SB-4692";"CBN-24";"";"CBN-24/SB-4692 шаровая опора /555";"555/SB шаровые опоры";"127";"54177";"шт";"555"
"555";"Шаровая опора";"SB-4672";"CBN-31";"";"CBN-31/SB-4672 шаровая опора /555";"555/SB шаровые опоры";"126";"54296";"шт";"555"
"555";"Шаровая опора";"SB-4812";"CBN-46";"";"CBN-46/SB-4812 шаровая опора 555";"555/SB шаровые опоры";"LEN00001390";"54039";"шт";"555"
"555";"Шаровая опора";"SB-4842";"CBN-64";"";"CBN-64/SB-4842 /шаровая опора 555";"555/SB шаровые опоры";"AMR00000310";"54035";"шт";"555"
"555";"Шаровая опора";"SB-4882";"CBN-65";"";"CBN-65 /SB-4882/ шаровая опора 555";"555/SB шаровые опоры";"AMR00000308";"54486";"шт";"555"
